Hex_ID,Depth_m
49526,-0.692973181
49527,-0.167695069
49528,-1.58607E-05
49529,0
49590,0
49591,0
49592,0
49593,0
49594,0
49595,0
49596,0
49597,0
49598,0
52024,-0.087657658
52025,-1.811949866
52026,-3.873529262
52027,-5.727588766
52028,-8.144724367
52029,-10.85972434
52030,-13.46645709
52031,-12.10265197
52032,-10.32236412
52033,-8.441158598
52034,-6.371769214
52035,-3.886271798
52036,-0.891388178
52037,-0.069648469
52041,-0.915945473
52042,-1.839463593
52043,-3.229806345
52044,-4.523874158
52045,-4.748125296
52046,-4.062651439
52047,-5.215349684
52048,-5.801001727
52049,-6.226397855
52050,-6.369991997
52051,-6.165563196
52052,-5.699621288
52053,-5.12935784
52054,-4.65120563
52055,-5.050831238
52056,-4.955849245
52057,-4.906531325
52058,-4.997392639
52059,-3.432292532
52060,-2.45235409
52061,-2.455722198
52062,-4.782448782
52063,-3.043792117
52064,-0.083216714
52070,-0.000163423
52071,-0.173752766
52072,0
52079,-0.325218812
52080,-2.410207244
52081,-5.554188304
52082,-5.332153601
52083,-4.612071973
52084,-3.955696049
52085,-3.359244665
52086,-2.84473857
52087,-2.470746863
52088,-2.342433329
52089,-2.067056969
52090,-2.031235754
52091,-2.036846894
52092,-2.050688927
52093,-2.057683704
52094,-2.04829387
52095,-2.025450206
52096,-1.947264862
52097,-1.970568236
52098,-1.950745754
52099,-1.924420036
52100,-1.900920743
52101,-1.880197735
52102,-1.859189279
52103,-1.83601642
52104,-1.797576179
52105,-1.679913594
52106,-1.170184751
52107,-0.370383606
52108,-0.000475821
52109,0
52110,0
52170,0
52171,0
52172,0
52173,0
52174,0
52175,0
52176,0
54601,0
54602,-0.00277857
54603,-1.698588035
54604,-4.806703697
54605,-7.261785237
54606,-9.434011949
54607,-11.91904573
54608,-14.50515648
54609,-13.81252899
54610,-12.14758411
54611,-10.3070604
54612,-8.537875951
54613,-7.066611104
54614,-4.742374194
54615,-1.872243133
54616,-1.256928511
54617,-0.912205512
54618,-2.519301748
54619,-4.178762375
54620,-5.237556468
54621,-6.344473206
54622,-6.404678252
54623,-5.736013252
54624,-5.257988361
54625,-6.246615225
54626,-7.00800596
54627,-7.610462791
54628,-7.836778047
54629,-7.841578917
54630,-7.437709964
54631,-6.729588071
54632,-5.454188013
54633,-6.056321608
54634,-6.103820453
54635,-5.889612598
54636,-5.82211788
54637,-5.831771942
54638,-6.175363179
54639,-6.012008615
54640,-7.201930751
54641,-7.374148727
54642,-3.415527276
54643,-1.252498113
54644,-0.104070519
54648,-0.435909621
54649,-2.078793462
54650,-1.548899062
54657,-0.512460435
54658,-3.062618875
54659,-5.995761932
54660,-5.507366743
54661,-4.731912332
54662,-4.009459046
54663,-3.357933408
54664,-2.820185999
54665,-2.417485143
54666,-2.296530753
54667,-1.925444973
54668,-1.820257062
54669,-1.787071297
54670,-1.782245284
54671,-1.789137741
54672,-1.797366163
54673,-1.807337066
54674,-1.783090726
54675,-1.83017666
54676,-1.83039656
54677,-1.829127596
54678,-1.829074111
54679,-1.827898892
54680,-1.823374023
54681,-1.81540605
54682,-1.804623133
54683,-1.786770298
54684,-1.757748087
54685,-1.187077179
54686,-0.358376454
54687,-0.003737327
54688,0
54689,0
54690,0
54748,0
54749,0
54750,0
54751,0
54752,0
54753,0
57180,0
57181,0
57182,-0.994800543
57183,-4.217190262
57184,-7.50482796
57185,-10.3513077
57186,-12.88363802
57187,-15.37102689
57188,-15.43873322
57189,-14.16808636
57190,-12.3804071
57191,-10.43438286
57192,-8.682082846
57193,-7.853825844
57194,-6.060565535
57195,-6.679881802
57196,-6.501677563
57197,-5.231846933
57198,-6.672174133
57199,-8.959574629
57200,-9.623252724
57201,-9.137406798
57202,-7.480841052
57203,-6.135883612
57204,-7.491188676
57205,-8.411970845
57206,-9.121293246
57207,-9.610617448
57208,-9.827954764
57209,-9.564462708
57210,-8.859439462
57211,-7.165820746
57212,-7.487928992
57213,-7.668387163
57214,-7.653353778
57215,-7.529116013
57216,-7.135673749
57217,-7.017640256
57218,-7.11110955
57219,-7.942618098
57220,-8.2166037
57221,-7.86608963
57222,-6.081724127
57223,-3.969986165
57224,-1.451123634
57225,-0.355283256
57227,-1.061269596
57228,-3.518115491
57229,-4.869452774
57230,-1.557486473
57231,-0.197260979
57232,-0.050665821
57233,-0.154895723
57235,-0.804105569
57236,-2.568839713
57237,-4.342936656
57238,-6.141911151
57239,-5.744385997
57240,-4.874423982
57241,-4.098236476
57242,-3.393998357
57243,-2.817330359
57244,-2.384519132
57245,-2.186693998
57246,-1.871208022
57247,-1.701857458
57248,-1.62342053
57249,-1.583450005
57250,-1.566303959
57251,-1.570379727
57252,-1.591810541
57253,-1.621648109
57254,-1.629172214
57255,-1.693518287
57256,-1.72461726
57257,-1.752071689
57258,-1.771195231
57259,-1.784591361
57260,-1.794635661
57261,-1.800316128
57262,-1.794096595
57263,-1.789091087
57264,-1.759288109
57265,-1.168600327
57266,-0.491710539
57267,-0.251195968
57268,-0.07279731
57269,0
57270,0
57271,0
57327,0
57328,0
57329,0
57330,0
57331,0
57332,0
59758,0
59759,0
59760,-0.468213354
59761,-3.446923615
59762,-6.74077576
59763,-10.03152722
59764,-13.21370857
59765,-15.97805379
59766,-17.04757106
59767,-16.18149835
59768,-15.03948782
59769,-13.29637561
59770,-11.67247473
59771,-9.157347441
59772,-10.32161649
59773,-11.22818557
59774,-12.92958986
59775,-12.16963509
59776,-10.75349129
59777,-11.73917997
59778,-12.48526466
59779,-12.67300785
59780,-12.4211988
59781,-10.37887114
59782,-9.504719843
59783,-10.82609151
59784,-10.96670851
59785,-11.41265687
59786,-11.7863236
59787,-11.80124711
59788,-11.08793716
59789,-9.44950112
59790,-9.035904272
59791,-9.44060457
59792,-9.389187941
59793,-9.351937889
59794,-9.100741013
59795,-8.562535492
59796,-7.760371083
59797,-8.512362392
59798,-8.718126576
59799,-8.800566312
59800,-8.668588902
59801,-8.085698318
59802,-6.634075296
59803,-3.932976505
59804,-2.538273264
59805,-3.232325668
59806,-4.4713419
59807,-4.629602007
59808,-4.607943736
59809,-2.519330525
59810,-1.521531982
59811,-1.376193615
59812,-2.699164606
59813,-2.791314796
59814,-4.43473832
59815,-6.307980084
59816,-6.80616828
59817,-6.191233722
59818,-5.022363208
59819,-4.208334407
59820,-3.467895591
59821,-2.8604286
59822,-2.380983737
59823,-2.094353268
59824,-1.866691728
59825,-1.664937037
59826,-1.549757149
59827,-1.459678199
59828,-1.39771047
59829,-1.377543387
59830,-1.395521941
59831,-1.438886155
59832,-1.464919885
59833,-1.557979757
59834,-1.612025877
59835,-1.661289585
59836,-1.704943025
59837,-1.742449166
59838,-1.774485292
59839,-1.797840117
59840,-1.806378403
59841,-1.809187244
59842,-1.803349664
59843,-1.757382121
59844,-1.282190341
59845,-1.007186706
59846,-0.754070179
59847,-0.374208845
59848,-0.071912721
59849,-0.000185681
59850,0
59851,0
59905,0
59906,0
59907,0
59908,0
59909,0
59910,0
62334,0
62335,0
62336,0
62337,0
62338,0
62339,-0.141448843
62340,-2.674738772
62341,-5.96896008
62342,-9.246944879
62343,-12.48222763
62344,-15.69897315
62345,-18.1042461
62346,-17.65581533
62347,-17.01047216
62348,-16.41018904
62349,-15.8661269
62350,-14.19567188
62351,-13.29711859
62352,-14.46767621
62353,-16.16957117
62354,-17.36288205
62355,-14.30170262
62356,-13.65087025
62357,-15.18486034
62358,-15.15956654
62359,-15.24596359
62360,-15.11892367
62361,-14.71594245
62362,-13.98866126
62363,-13.38282848
62364,-13.27644892
62365,-13.47235324
62366,-13.75943107
62367,-13.68136723
62368,-11.96907523
62369,-10.99325224
62370,-11.3286027
62371,-11.20395333
62372,-11.24099526
62373,-11.1530576
62374,-10.2116732
62375,-9.361840192
62376,-9.432537039
62377,-9.460798105
62378,-9.39491201
62379,-9.269433623
62380,-8.912979799
62381,-8.171913986
62382,-7.443963652
62383,-5.428149486
62384,-5.326656262
62385,-5.494234987
62386,-5.902266476
62387,-5.440710928
62388,-3.253744128
62389,-2.846939307
62390,-3.316610349
62391,-4.333640131
62392,-5.099864291
62393,-5.40094417
62394,-5.92806432
62395,-6.532412897
62396,-6.112423416
62397,-5.113263474
62398,-4.305054085
62399,-3.560373086
62400,-2.927008548
62401,-2.438385757
62402,-2.101814004
62403,-1.900298688
62404,-1.731178052
62405,-1.583068633
62406,-1.437459933
62407,-1.318298457
62408,-1.251222609
62409,-1.235713527
62410,-1.279157096
62411,-1.312566394
62412,-1.425941305
62413,-1.506499469
62414,-1.580591604
62415,-1.645568016
62416,-1.701473179
62417,-1.749584922
62418,-1.79064884
62419,-1.821823827
62420,-1.838005543
62421,-1.843541978
62422,-1.830047598
62423,-1.795461483
62424,-1.686659258
62425,-1.505844858
62426,-1.219069485
62427,-0.86880024
62428,-0.419714461
62429,-0.022518141
62430,0
62431,0
62432,0
62484,0
62485,0
62486,0
62487,0
62488,0
64911,0
64912,0
64913,0
64914,0
64915,0
64916,0
64917,-0.000611027
64918,-1.257537776
64919,-4.22304659
64920,-7.065360017
64921,-10.16039261
64922,-14.09273979
64923,-18.25656936
64924,-18.59936239
64925,-18.34292688
64926,-18.1715385
64927,-18.08728202
64928,-17.9769155
64929,-16.76839276
64930,-17.03512647
64931,-17.35741843
64932,-18.39625153
64933,-18.44306612
64934,-17.75967411
64935,-17.1148937
64936,-16.70745229
64937,-16.62744787
64938,-16.51843011
64939,-16.46141498
64940,-15.96270938
64941,-15.1686718
64942,-14.70166658
64943,-14.62752459
64944,-14.68603846
64945,-14.64489098
64946,-14.03812685
64947,-13.45225447
64948,-13.03401605
64949,-12.77827003
64950,-12.72323734
64951,-12.74847882
64952,-12.44445668
64953,-11.40338535
64954,-10.72967879
64955,-10.56769101
64956,-10.25794712
64957,-9.974610928
64958,-9.630759242
64959,-9.08121546
64960,-8.269130727
64961,-6.777305507
64962,-6.13938398
64963,-6.244947885
64964,-6.677034302
64965,-7.179733269
64966,-7.067214555
64967,-5.347242215
64968,-4.459836207
64969,-5.084856487
64970,-5.331993727
64971,-5.519102655
64972,-5.580821562
64973,-5.785127696
64974,-5.618437289
64975,-5.116188295
64976,-4.412514677
64977,-3.696156367
64978,-3.03750006
64979,-2.575662552
64980,-2.304217929
64981,-2.058517664
64982,-1.935695365
64983,-1.754541597
64984,-1.560299529
64985,-1.375266637
64986,-1.225280443
64987,-1.140358519
64988,-1.161286674
64989,-1.211439355
64990,-1.316013422
64991,-1.413529853
64992,-1.503594123
64993,-1.587468364
64994,-1.663733041
64995,-1.733332717
64996,-1.793903002
64997,-1.843276151
64998,-1.876599553
64999,-1.893590086
65000,-1.889564314
65001,-1.864607553
65002,-1.82318479
65003,-1.770676658
65004,-1.709870486
65005,-1.594519823
65006,-1.113826199
65007,-0.457358421
65008,-0.014458111
65009,0
65010,0
65011,0
65062,0
65063,0
65064,0
65065,0
65066,0
67489,0
67490,0
67491,0
67492,0
67493,0
67494,0
67495,0
67496,0
67497,-2.83686E-06
67498,-0.562965419
67499,-4.153890347
67500,-7.590071594
67501,-11.25017144
67502,-16.52334957
67503,-19.05003604
67504,-18.83361437
67505,-18.74162696
67506,-18.85539444
67507,-19.14226762
67508,-18.90780054
67509,-18.13150955
67510,-17.7740244
67511,-18.06075922
67512,-18.71557855
67513,-18.09879411
67514,-17.60420918
67515,-17.21944081
67516,-17.03578574
67517,-17.08765815
67518,-16.73086946
