Hex_ID,CWR_ID,SIZE_RANK,T070116_00,T070116_01,T070116_02,T070116_03,T070116_04,T070116_05,T070116_06,T070116_07,T070116_08,T070116_09,T070116_10,T070116_11,T070116_12,T070116_13,T070116_14,T070116_15,T070116_16,T070116_17,T070116_18,T070116_19,T070116_20,T070116_21,T070116_22,T070116_23
417964,1,0,17.81470968,17.73622581,17.73796774,17.71648387,17.70177419,17.69209677,17.6773871,17.67277419,17.66629032,17.67164516,17.68029032,17.70683871,17.73190323,17.757,17.80609677,17.83296774,17.85909677,17.86090323,17.87703226,17.88345161,17.90641935,17.87993548,17.87309677,17.86954839
417965,1,0,17.81470968,17.73622581,17.73796774,17.71648387,17.70177419,17.69209677,17.6773871,17.67277419,17.66629032,17.67164516,17.68029032,17.70683871,17.73190323,17.757,17.80609677,17.83296774,17.85909677,17.86090323,17.87703226,17.88345161,17.90641935,17.87993548,17.87309677,17.86954839
420542,1,0,17.81470968,17.73622581,17.73796774,17.71648387,17.70177419,17.69209677,17.6773871,17.67277419,17.66629032,17.67164516,17.68029032,17.70683871,17.73190323,17.757,17.80609677,17.83296774,17.85909677,17.86090323,17.87703226,17.88345161,17.90641935,17.87993548,17.87309677,17.86954839
420543,1,0,17.81470968,17.73622581,17.73796774,17.71648387,17.70177419,17.69209677,17.6773871,17.67277419,17.66629032,17.67164516,17.68029032,17.70683871,17.73190323,17.757,17.80609677,17.83296774,17.85909677,17.86090323,17.87703226,17.88345161,17.90641935,17.87993548,17.87309677,17.86954839
420544,1,0,17.81470968,17.73622581,17.73796774,17.71648387,17.70177419,17.69209677,17.6773871,17.67277419,17.66629032,17.67164516,17.68029032,17.70683871,17.73190323,17.757,17.80609677,17.83296774,17.85909677,17.86090323,17.87703226,17.88345161,17.90641935,17.87993548,17.87309677,17.86954839
420545,1,0,17.81470968,17.73622581,17.73796774,17.71648387,17.70177419,17.69209677,17.6773871,17.67277419,17.66629032,17.67164516,17.68029032,17.70683871,17.73190323,17.757,17.80609677,17.83296774,17.85909677,17.86090323,17.87703226,17.88345161,17.90641935,17.87993548,17.87309677,17.86954839
420546,1,0,17.81470968,17.73622581,17.73796774,17.71648387,17.70177419,17.69209677,17.6773871,17.67277419,17.66629032,17.67164516,17.68029032,17.70683871,17.73190323,17.757,17.80609677,17.83296774,17.85909677,17.86090323,17.87703226,17.88345161,17.90641935,17.87993548,17.87309677,17.86954839
423122,1,0,17.81470968,17.73622581,17.73796774,17.71648387,17.70177419,17.69209677,17.6773871,17.67277419,17.66629032,17.67164516,17.68029032,17.70683871,17.73190323,17.757,17.80609677,17.83296774,17.85909677,17.86090323,17.87703226,17.88345161,17.90641935,17.87993548,17.87309677,17.86954839
423123,1,0,17.81470968,17.73622581,17.73796774,17.71648387,17.70177419,17.69209677,17.6773871,17.67277419,17.66629032,17.67164516,17.68029032,17.70683871,17.73190323,17.757,17.80609677,17.83296774,17.85909677,17.86090323,17.87703226,17.88345161,17.90641935,17.87993548,17.87309677,17.86954839
423124,1,0,17.81470968,17.73622581,17.73796774,17.71648387,17.70177419,17.69209677,17.6773871,17.67277419,17.66629032,17.67164516,17.68029032,17.70683871,17.73190323,17.757,17.80609677,17.83296774,17.85909677,17.86090323,17.87703226,17.88345161,17.90641935,17.87993548,17.87309677,17.86954839
423125,1,0,17.81470968,17.73622581,17.73796774,17.71648387,17.70177419,17.69209677,17.6773871,17.67277419,17.66629032,17.67164516,17.68029032,17.70683871,17.73190323,17.757,17.80609677,17.83296774,17.85909677,17.86090323,17.87703226,17.88345161,17.90641935,17.87993548,17.87309677,17.86954839
423126,1,0,17.81470968,17.73622581,17.73796774,17.71648387,17.70177419,17.69209677,17.6773871,17.67277419,17.66629032,17.67164516,17.68029032,17.70683871,17.73190323,17.757,17.80609677,17.83296774,17.85909677,17.86090323,17.87703226,17.88345161,17.90641935,17.87993548,17.87309677,17.86954839
423127,1,0,17.81470968,17.73622581,17.73796774,17.71648387,17.70177419,17.69209677,17.6773871,17.67277419,17.66629032,17.67164516,17.68029032,17.70683871,17.73190323,17.757,17.80609677,17.83296774,17.85909677,17.86090323,17.87703226,17.88345161,17.90641935,17.87993548,17.87309677,17.86954839
423128,1,0,17.81470968,17.73622581,17.73796774,17.71648387,17.70177419,17.69209677,17.6773871,17.67277419,17.66629032,17.67164516,17.68029032,17.70683871,17.73190323,17.757,17.80609677,17.83296774,17.85909677,17.86090323,17.87703226,17.88345161,17.90641935,17.87993548,17.87309677,17.86954839
423129,1,0,17.81470968,17.73622581,17.73796774,17.71648387,17.70177419,17.69209677,17.6773871,17.67277419,17.66629032,17.67164516,17.68029032,17.70683871,17.73190323,17.757,17.80609677,17.83296774,17.85909677,17.86090323,17.87703226,17.88345161,17.90641935,17.87993548,17.87309677,17.86954839
